Tweet,clasif
      pues más que preocupados por su asistencia a los estadios deberíamos estarlo por tenerlo trabajando en una instancia de  impartición de justicia su conducta y la forma de promoverse en las redes indica que es un pobre imbécil,negativo
"rt     definición actual sobre democracia de adam przeworski

un arreglo político en el",neutral
rt     la oposición y el poder judicial están realizando una guerra jurídica lawfare,negativo
 dan pena vendidos dediquense a otra cosa les falto corazón a la camiseta huevos y saber jugar,negativo
    hay diferencia así que ganen el domingo y hablamos,neutral
  no ha ganado nada como le pasó en pumas,positivo
   y  son los capitanes de este  y son los primeros q se esconden en liguilla pero no los critiques xq la afición los defiende q a cuauhtémoc blanco dicen q pobre henry a trabajado en q sigue igual sin marcar diferencia en liguilla,negativo
" y  estos parásitos no pueden seguir en el  se tienen que largar pero ya estos inservibles


 




 

",negativo
"rt  𝐌𝐚𝐫𝐜𝐚𝐝𝐨𝐫 𝐅𝐢𝐧𝐚𝐥

viviresincreíble ",neutral
   no quizo venderlo barato y en abonos a roger al boca jrs y ahora se fue gratis el pensamiento d baños no dar nada barato aunque se vaya gratis,neutral
 que pena dan este tipo de disque profesionales que protegen un gol y les meten 3 ese juego esta mas que vendido,neutral
     seguro le va al américa jajajajaajaa,positivo
  nooooo    este técnico  es traposo vende equipos dejen a esa basura de  allá lejos donde esta que robe allá,neutral
 mi estimado patrón cara de cuyo  de verdad ya piénsele bien en el  neta ya le queda grande el club a ,positivo
   noooooooooooooooooooooooooooooooooo9,neutral
   si aqui esta un ,neutral
    en lo mas mínimo se comparan river es un grande e histórico equipo a nivel mundial tiene una historia impresionante de títulos locales e internacionales el américa fuera de méxico y estados unidosni sus luces,positivo
     de lo mejor de televisa,positivo
  al tano no le ganó la necedad y la pendejez de rafa puente que se aferraba a seguir a pesar de no jugar ni madres,negativo
   yo creo ,neutral
 pues   dio en sacrificio a el  y no sirvió de nada,negativo
  claro,positivo
     cuando la diferencia sea como la del real madrid y barcelona la abres mientras cierrala ,neutral
 mejor ya corra a  patrón deje de dar condolencias a extranjeros y ponga mano dura en  ,positivo
   mira  tu casa jajajaja ,neutral
  mucha verborrea ,neutral
  que no hay defensas y laterales en la cantera,negativo
   ve a cagar mejor mijo que el culo no es bodega ,negativo
imaginense que el  abre la cartera y trae a lo siguiente carlos vela gallardo y quiñones pufff,neutral
 estás haciendo una  del  ,neutral
  si no hubiera que pagar cláusula de recision si porque luego parace que nos están haciendo un favor,positivo
   ya wey te vez ridículo ,negativo
" un sector de la afición del  es de verdad increíble
la época de poder comprar a cualquier jugador o seducir a cualquier entrenador del mundo a base de billetazos concluyó
debemos entender que el equipo no tiene el presupuesto de antaño y ser realistas",negativo
    claro por eso somos los más ganadores pero hablaba de los últimos años,positivo
  las wilas no van ha  ser campeones a un que traigan a guardiola es el coraje que tienen los wilos periodistas de        y muchos más y que   con sus entrenadores no opaca la final jajaja jajaja wilos,positivo
rt        la verdad si es difícil de asimilar pero se va,negativo
  exactamente cuál final como siempre el  marcando la agenda del fútbol mexicano saludos clau,positivo
    no es la primera compa y de ustedes tampoco,negativo
 siempre ha sido de esa forma solo  no entiende donde esta el ,negativo
  ja ja ja     gallardo   ni los pela,neutral
 los vendidos de  y  les vendieron esa alegría y santander la continuará ,positivo
 ares de praga y lillini juntos otra vez  pinche  y pinche  valen para pura  inche bola de vendidos igual de vendidos que  y   ,neutral
en menos de 24 horas ya tuiteo 2 veces sobre el verdadero grande de mexico  mejor céntrate en tus chivas y deja en paz al  ,positivo
    hasta que se les va a hacer vivirla del otro lado y a nosotros también,neutral
   con todo el corazón amigo,neutral
   en qué equipo juegas para apoyarte,neutral
  por primera vez en mucho tiempo entraron a la liguilla siempre pelean descenso ,negativo
  nel  yo voy más con el profe alfaro,neutral
    mentiras no son jaja,positivo
 jaja ya superen al américa en lugar de estar disfrutando de que van a jugar la final no dejan en pensar en el   ,positivo
  pan con lo mismo mientras televisa controle el fútbol mexicano seguirá siendo una basura,neutral
  pues no,negativo
  no hubieras seguido órdenes vale más la afición que la corrupcion pero bien por no querer ser parte de eso,negativo
vamosamerica   ,neutral
    ahi los tiene solo que no los mete,negativo
  no te alcanza,negativo
ahorita estuviéramos nerviosos por la final y con esa sensación de que se podía ganar pero se les ocurrió cagarse el domingo  ,positivo
"tres días han pasado y sigo sin entender como se cagaron  
 
chinguen bien a su madre  ",negativo
  que no este sonaba para el chelsea y no se que otros equipos y va a terminar en el america,negativo
 el vasco es el dt más grande vende humo no sabe llevar las presiones de equipos muy mediáticos además él se siente feliz digiriendo equipos que pelean descenso y viviendo en españa si lo contrata el  no se sale campeón,positivo
   no me juzgues jajajajaja ,negativo
      la verdad si es difícil de asimilar pero se va a ir  nos dió muchísimas alegrías grande ,negativo
